X	Y
0.000000e+00	1.000000e+00
4.882812e-04	9.997946e-01
9.765625e-04	9.995898e-01
1.464844e-03	9.993857e-01
1.953125e-03	9.991822e-01
2.441406e-03	9.989794e-01
2.929688e-03	9.987772e-01
3.417969e-03	9.985757e-01
3.906250e-03	9.983748e-01
4.394531e-03	9.981746e-01
4.882812e-03	9.979750e-01
5.371094e-03	9.977760e-01
5.859375e-03	9.975777e-01
6.347656e-03	9.973801e-01
6.835938e-03	9.971831e-01
7.324219e-03	9.969867e-01
7.812500e-03	9.967910e-01
8.300781e-03	9.965959e-01
8.789062e-03	9.964015e-01
9.277344e-03	9.962078e-01
9.765625e-03	9.960146e-01
1.025391e-02	9.958221e-01
1.074219e-02	9.956303e-01
1.123047e-02	9.954391e-01
1.171875e-02	9.952486e-01
1.220703e-02	9.950587e-01
1.269531e-02	9.948694e-01
1.318359e-02	9.946808e-01
1.367188e-02	9.944928e-01
1.416016e-02	9.943055e-01
1.464844e-02	9.941188e-01
1.513672e-02	9.939328e-01
1.562500e-02	9.937474e-01
1.611328e-02	9.935626e-01
1.660156e-02	9.933785e-01
1.708984e-02	9.931951e-01
1.757812e-02	9.930123e-01
1.806641e-02	9.928301e-01
1.855469e-02	9.926486e-01
1.904297e-02	9.924677e-01
1.953125e-02	9.922874e-01
2.001953e-02	9.921078e-01
2.050781e-02	9.919289e-01
2.099609e-02	9.917506e-01
2.148438e-02	9.915729e-01
2.197266e-02	9.913958e-01
2.246094e-02	9.912195e-01
2.294922e-02	9.910437e-01
2.343750e-02	9.908686e-01
2.392578e-02	9.906941e-01
2.441406e-02	9.905203e-01
2.490234e-02	9.903471e-01
2.539062e-02	9.901746e-01
2.587891e-02	9.900027e-01
2.636719e-02	9.898315e-01
2.685547e-02	9.896608e-01
2.734375e-02	9.894909e-01
2.783203e-02	9.893215e-01
2.832031e-02	9.891528e-01
2.880859e-02	9.889848e-01
2.929688e-02	9.888174e-01
2.978516e-02	9.886506e-01
3.027344e-02	9.884845e-01
3.076172e-02	9.883190e-01
3.125000e-02	9.881541e-01
3.173828e-02	9.879899e-01
3.222656e-02	9.878264e-01
3.271484e-02	9.876634e-01
3.320312e-02	9.875011e-01
3.369141e-02	9.873395e-01
3.417969e-02	9.871785e-01
3.466797e-02	9.870181e-01
3.515625e-02	9.868584e-01
3.564453e-02	9.866993e-01
3.613281e-02	9.865408e-01
3.662109e-02	9.863830e-01
3.710938e-02	9.862258e-01
3.759766e-02	9.860693e-01
3.808594e-02	9.859134e-01
3.857422e-02	9.857581e-01
3.906250e-02	9.856035e-01
3.955078e-02	9.854495e-01
4.003906e-02	9.852961e-01
4.052734e-02	9.851434e-01
4.101562e-02	9.849913e-01
4.150391e-02	9.848399e-01
4.199219e-02	9.846891e-01
4.248047e-02	9.845389e-01
4.296875e-02	9.843894e-01
4.345703e-02	9.842405e-01
4.394531e-02	9.840923e-01
4.443359e-02	9.839446e-01
4.492188e-02	9.837977e-01
4.541016e-02	9.836513e-01
4.589844e-02	9.835056e-01
4.638672e-02	9.833605e-01
4.687500e-02	9.832161e-01
4.736328e-02	9.830723e-01
4.785156e-02	9.829291e-01
4.833984e-02	9.827866e-01
4.882812e-02	9.826447e-01
4.931641e-02	9.825035e-01
4.980469e-02	9.823628e-01
5.029297e-02	9.822229e-01
5.078125e-02	9.820835e-01
5.126953e-02	9.819448e-01
5.175781e-02	9.818067e-01
5.224609e-02	9.816693e-01
5.273438e-02	9.815324e-01
5.322266e-02	9.813963e-01
5.371094e-02	9.812607e-01
5.419922e-02	9.811258e-01
5.468750e-02	9.809915e-01
5.517578e-02	9.808579e-01
5.566406e-02	9.807249e-01
5.615234e-02	9.805925e-01
5.664062e-02	9.804608e-01
5.712891e-02	9.803297e-01
5.761719e-02	9.801992e-01
5.810547e-02	9.800694e-01
5.859375e-02	9.799402e-01
5.908203e-02	9.798116e-01
5.957031e-02	9.796837e-01
6.005859e-02	9.795563e-01
6.054688e-02	9.794297e-01
6.103516e-02	9.793036e-01
6.152344e-02	9.791782e-01
6.201172e-02	9.790534e-01
6.250000e-02	9.789293e-01
6.298828e-02	9.788058e-01
6.347656e-02	9.786829e-01
6.396484e-02	9.785607e-01
6.445312e-02	9.784391e-01
6.494141e-02	9.783181e-01
6.542969e-02	9.781977e-01
6.591797e-02	9.780780e-01
6.640625e-02	9.779589e-01
6.689453e-02	9.778405e-01
6.738281e-02	9.777226e-01
6.787109e-02	9.776054e-01
6.835938e-02	9.774889e-01
6.884766e-02	9.773729e-01
6.933594e-02	9.772576e-01
6.982422e-02	9.771430e-01
7.031250e-02	9.770289e-01
7.080078e-02	9.769155e-01
7.128906e-02	9.768027e-01
7.177734e-02	9.766906e-01
7.226562e-02	9.765791e-01
7.275391e-02	9.764682e-01
7.324219e-02	9.763579e-01
7.373047e-02	9.762483e-01
7.421875e-02	9.761393e-01
7.470703e-02	9.760309e-01
7.519531e-02	9.759232e-01
7.568359e-02	9.758160e-01
7.617188e-02	9.757096e-01
7.666016e-02	9.756037e-01
7.714844e-02	9.754985e-01
7.763672e-02	9.753939e-01
7.812500e-02	9.752899e-01
7.861328e-02	9.751866e-01
7.910156e-02	9.750839e-01
7.958984e-02	9.749818e-01
8.007812e-02	9.748803e-01
8.056641e-02	9.747795e-01
8.105469e-02	9.746793e-01
8.154297e-02	9.745797e-01
8.203125e-02	9.744808e-01
8.251953e-02	9.743825e-01
8.300781e-02	9.742848e-01
8.349609e-02	9.741878e-01
8.398438e-02	9.740913e-01
8.447266e-02	9.739955e-01
8.496094e-02	9.739003e-01
8.544922e-02	9.738058e-01
8.593750e-02	9.737119e-01
8.642578e-02	9.736186e-01
8.691406e-02	9.735259e-01
8.740234e-02	9.734339e-01
8.789062e-02	9.733425e-01
8.837891e-02	9.732517e-01
8.886719e-02	9.731615e-01
8.935547e-02	9.730720e-01
8.984375e-02	9.729831e-01
9.033203e-02	9.728948e-01
9.082031e-02	9.728071e-01
9.130859e-02	9.727201e-01
9.179688e-02	9.726337e-01
9.228516e-02	9.725479e-01
9.277344e-02	9.724628e-01
9.326172e-02	9.723782e-01
9.375000e-02	9.722943e-01
9.423828e-02	9.722111e-01
9.472656e-02	9.721284e-01
9.521484e-02	9.720464e-01
9.570312e-02	9.719650e-01
9.619141e-02	9.718842e-01
9.667969e-02	9.718041e-01
9.716797e-02	9.717245e-01
9.765625e-02	9.716456e-01
9.814453e-02	9.715673e-01
9.863281e-02	9.714897e-01
9.912109e-02	9.714127e-01
9.960938e-02	9.713363e-01
1.000977e-01	9.712605e-01
1.005859e-01	9.711853e-01
1.010742e-01	9.711108e-01
1.015625e-01	9.710369e-01
1.020508e-01	9.709636e-01
1.025391e-01	9.708909e-01
1.030273e-01	9.708189e-01
1.035156e-01	9.707475e-01
1.040039e-01	9.706767e-01
1.044922e-01	9.706065e-01
1.049805e-01	9.705370e-01
1.054688e-01	9.704681e-01
1.059570e-01	9.703998e-01
1.064453e-01	9.703321e-01
1.069336e-01	9.702650e-01
1.074219e-01	9.701986e-01
1.079102e-01	9.701328e-01
1.083984e-01	9.700676e-01
1.088867e-01	9.700031e-01
1.093750e-01	9.699391e-01
1.098633e-01	9.698758e-01
1.103516e-01	9.698131e-01
1.108398e-01	9.697510e-01
1.113281e-01	9.696896e-01
1.118164e-01	9.696287e-01
1.123047e-01	9.695685e-01
1.127930e-01	9.695089e-01
1.132812e-01	9.694500e-01
1.137695e-01	9.693916e-01
1.142578e-01	9.693339e-01
1.147461e-01	9.692768e-01
1.152344e-01	9.692203e-01
1.157227e-01	9.691645e-01
1.162109e-01	9.691092e-01
1.166992e-01	9.690546e-01
1.171875e-01	9.690006e-01
1.176758e-01	9.689472e-01
1.181641e-01	9.688945e-01
1.186523e-01	9.688423e-01
1.191406e-01	9.687908e-01
1.196289e-01	9.687399e-01
1.201172e-01	9.686897e-01
1.206055e-01	9.686400e-01
1.210938e-01	9.685910e-01
1.215820e-01	9.685426e-01
1.220703e-01	9.684948e-01
1.225586e-01	9.684476e-01
1.230469e-01	9.684010e-01
1.235352e-01	9.683551e-01
1.240234e-01	9.683098e-01
1.245117e-01	9.682651e-01
1.250000e-01	9.682210e-01
1.254883e-01	9.681776e-01
1.259766e-01	9.681347e-01
1.264648e-01	9.680925e-01
1.269531e-01	9.680509e-01
1.274414e-01	9.680099e-01
1.279297e-01	9.679696e-01
1.284180e-01	9.679298e-01
1.289062e-01	9.678907e-01
1.293945e-01	9.678522e-01
1.298828e-01	9.678143e-01
1.303711e-01	9.677770e-01
1.308594e-01	9.677404e-01
1.313477e-01	9.677043e-01
1.318359e-01	9.676689e-01
1.323242e-01	9.676341e-01
1.328125e-01	9.676000e-01
1.333008e-01	9.675664e-01
1.337891e-01	9.675334e-01
1.342773e-01	9.675011e-01
1.347656e-01	9.674694e-01
1.352539e-01	9.674383e-01
1.357422e-01	9.674078e-01
1.362305e-01	9.673780e-01
1.367188e-01	9.673488e-01
1.372070e-01	9.673201e-01
1.376953e-01	9.672921e-01
1.381836e-01	9.672647e-01
1.386719e-01	9.672380e-01
1.391602e-01	9.672118e-01
1.396484e-01	9.671863e-01
1.401367e-01	9.671614e-01
1.406250e-01	9.671371e-01
1.411133e-01	9.671134e-01
1.416016e-01	9.670903e-01
1.420898e-01	9.670678e-01
1.425781e-01	9.670460e-01
1.430664e-01	9.670248e-01
1.435547e-01	9.670042e-01
1.440430e-01	9.669842e-01
1.445312e-01	9.669648e-01
1.450195e-01	9.669461e-01
1.455078e-01	9.669279e-01
1.459961e-01	9.669104e-01
1.464844e-01	9.668935e-01
1.469727e-01	9.668772e-01
1.474609e-01	9.668615e-01
1.479492e-01	9.668464e-01
1.484375e-01	9.668320e-01
1.489258e-01	9.668182e-01
1.494141e-01	9.668049e-01
1.499023e-01	9.667923e-01
1.503906e-01	9.667804e-01
1.508789e-01	9.667690e-01
1.513672e-01	9.667582e-01
1.518555e-01	9.667481e-01
1.523438e-01	9.667385e-01
1.528320e-01	9.667296e-01
1.533203e-01	9.667213e-01
1.538086e-01	9.667136e-01
1.542969e-01	9.667066e-01
1.547852e-01	9.667001e-01
1.552734e-01	9.666943e-01
1.557617e-01	9.666891e-01
1.562500e-01	9.666844e-01
1.567383e-01	9.666804e-01
1.572266e-01	9.666771e-01
1.577148e-01	9.666743e-01
1.582031e-01	9.666721e-01
1.586914e-01	9.666706e-01
1.591797e-01	9.666697e-01
1.596680e-01	9.666693e-01
1.601562e-01	9.666696e-01
1.606445e-01	9.666705e-01
1.611328e-01	9.666721e-01
1.616211e-01	9.666742e-01
1.621094e-01	9.666770e-01
1.625977e-01	9.666803e-01
1.630859e-01	9.666843e-01
1.635742e-01	9.666889e-01
1.640625e-01	9.666941e-01
1.645508e-01	9.666999e-01
1.650391e-01	9.667063e-01
1.655273e-01	9.667134e-01
1.660156e-01	9.667210e-01
1.665039e-01	9.667293e-01
1.669922e-01	9.667382e-01
1.674805e-01	9.667477e-01
1.679688e-01	9.667578e-01
1.684570e-01	9.667685e-01
1.689453e-01	9.667798e-01
1.694336e-01	9.667918e-01
1.699219e-01	9.668043e-01
1.704102e-01	9.668175e-01
1.708984e-01	9.668313e-01
1.713867e-01	9.668456e-01
1.718750e-01	9.668606e-01
1.723633e-01	9.668763e-01
1.728516e-01	9.668925e-01
1.733398e-01	9.669093e-01
1.738281e-01	9.669268e-01
1.743164e-01	9.669448e-01
1.748047e-01	9.669635e-01
1.752930e-01	9.669828e-01
1.757812e-01	9.670027e-01
1.762695e-01	9.670232e-01
1.767578e-01	9.670443e-01
1.772461e-01	9.670660e-01
1.777344e-01	9.670884e-01
1.782227e-01	9.671113e-01
1.787109e-01	9.671349e-01
1.791992e-01	9.671591e-01
1.796875e-01	9.671838e-01
1.801758e-01	9.672092e-01
1.806641e-01	9.672352e-01
1.811523e-01	9.672618e-01
1.816406e-01	9.672891e-01
1.821289e-01	9.673169e-01
1.826172e-01	9.673454e-01
1.831055e-01	9.673744e-01
1.835938e-01	9.674041e-01
1.840820e-01	9.674344e-01
1.845703e-01	9.674653e-01
1.850586e-01	9.674968e-01
1.855469e-01	9.675289e-01
1.860352e-01	9.675616e-01
1.865234e-01	9.675949e-01
1.870117e-01	9.676288e-01
1.875000e-01	9.676634e-01
1.879883e-01	9.676986e-01
1.884766e-01	9.677343e-01
1.889648e-01	9.677707e-01
1.894531e-01	9.678077e-01
1.899414e-01	9.678453e-01
1.904297e-01	9.678835e-01
1.909180e-01	9.679223e-01
1.914062e-01	9.679617e-01
1.918945e-01	9.680018e-01
1.923828e-01	9.680424e-01
1.928711e-01	9.680837e-01
1.933594e-01	9.681255e-01
1.938477e-01	9.681680e-01
1.943359e-01	9.682111e-01
1.948242e-01	9.682548e-01
1.953125e-01	9.682991e-01
1.958008e-01	9.683440e-01
1.962891e-01	9.683895e-01
1.967773e-01	9.684357e-01
1.972656e-01	9.684824e-01
1.977539e-01	9.685297e-01
1.982422e-01	9.685777e-01
1.987305e-01	9.686262e-01
1.992188e-01	9.686754e-01
1.997070e-01	9.687252e-01
2.001953e-01	9.687756e-01
2.006836e-01	9.688266e-01
2.011719e-01	9.688782e-01
2.016602e-01	9.689304e-01
2.021484e-01	9.689832e-01
2.026367e-01	9.690367e-01
2.031250e-01	9.690907e-01
2.036133e-01	9.691453e-01
2.041016e-01	9.692006e-01
2.045898e-01	9.692565e-01
2.050781e-01	9.693129e-01
2.055664e-01	9.693700e-01
2.060547e-01	9.694277e-01
2.065430e-01	9.694860e-01
2.070312e-01	9.695449e-01
2.075195e-01	9.696044e-01
2.080078e-01	9.696645e-01
2.084961e-01	9.697253e-01
2.089844e-01	9.697866e-01
2.094727e-01	9.698485e-01
2.099609e-01	9.699111e-01
2.104492e-01	9.699742e-01
2.109375e-01	9.700380e-01
