X	Y
0.000000e+00	1.000000e+00
2.441406e-04	9.998972e-01
4.882812e-04	9.997946e-01
7.324219e-04	9.996921e-01
9.765625e-04	9.995898e-01
1.220703e-03	9.994877e-01
1.464844e-03	9.993857e-01
1.708984e-03	9.992839e-01
1.953125e-03	9.991822e-01
2.197266e-03	9.990807e-01
2.441406e-03	9.989794e-01
2.685547e-03	9.988782e-01
2.929688e-03	9.987772e-01
3.173828e-03	9.986764e-01
3.417969e-03	9.985757e-01
3.662109e-03	9.984752e-01
3.906250e-03	9.983748e-01
4.150391e-03	9.982746e-01
4.394531e-03	9.981746e-01
4.638672e-03	9.980747e-01
4.882812e-03	9.979750e-01
5.126953e-03	9.978754e-01
5.371094e-03	9.977760e-01
5.615234e-03	9.976768e-01
5.859375e-03	9.975777e-01
6.103516e-03	9.974788e-01
6.347656e-03	9.973801e-01
6.591797e-03	9.972815e-01
6.835938e-03	9.971831e-01
7.080078e-03	9.970848e-01
7.324219e-03	9.969867e-01
7.568359e-03	9.968888e-01
7.812500e-03	9.967910e-01
8.056641e-03	9.966934e-01
8.300781e-03	9.965959e-01
8.544922e-03	9.964987e-01
8.789062e-03	9.964015e-01
9.033203e-03	9.963046e-01
9.277344e-03	9.962078e-01
9.521484e-03	9.961111e-01
9.765625e-03	9.960146e-01
1.000977e-02	9.959183e-01
1.025391e-02	9.958221e-01
1.049805e-02	9.957261e-01
1.074219e-02	9.956303e-01
1.098633e-02	9.955346e-01
1.123047e-02	9.954391e-01
1.147461e-02	9.953438e-01
1.171875e-02	9.952486e-01
1.196289e-02	9.951535e-01
1.220703e-02	9.950587e-01
1.245117e-02	9.949640e-01
1.269531e-02	9.948694e-01
1.293945e-02	9.947750e-01
1.318359e-02	9.946808e-01
1.342773e-02	9.945867e-01
1.367188e-02	9.944928e-01
1.391602e-02	9.943991e-01
1.416016e-02	9.943055e-01
1.440430e-02	9.942121e-01
1.464844e-02	9.941188e-01
1.489258e-02	9.940257e-01
1.513672e-02	9.939328e-01
1.538086e-02	9.938400e-01
1.562500e-02	9.937474e-01
1.586914e-02	9.936549e-01
1.611328e-02	9.935626e-01
1.635742e-02	9.934705e-01
1.660156e-02	9.933785e-01
1.684570e-02	9.932867e-01
1.708984e-02	9.931951e-01
1.733398e-02	9.931036e-01
1.757812e-02	9.930123e-01
1.782227e-02	9.929211e-01
1.806641e-02	9.928301e-01
1.831055e-02	9.927392e-01
1.855469e-02	9.926486e-01
1.879883e-02	9.925580e-01
1.904297e-02	9.924677e-01
1.928711e-02	9.923775e-01
1.953125e-02	9.922874e-01
1.977539e-02	9.921975e-01
2.001953e-02	9.921078e-01
2.026367e-02	9.920183e-01
2.050781e-02	9.919289e-01
2.075195e-02	9.918396e-01
2.099609e-02	9.917506e-01
2.124023e-02	9.916616e-01
2.148438e-02	9.915729e-01
2.172852e-02	9.914843e-01
2.197266e-02	9.913958e-01
2.221680e-02	9.913076e-01
2.246094e-02	9.912195e-01
2.270508e-02	9.911315e-01
2.294922e-02	9.910437e-01
2.319336e-02	9.909561e-01
2.343750e-02	9.908686e-01
2.368164e-02	9.907813e-01
2.392578e-02	9.906941e-01
2.416992e-02	9.906072e-01
2.441406e-02	9.905203e-01
2.465820e-02	9.904337e-01
2.490234e-02	9.903471e-01
2.514648e-02	9.902608e-01
2.539062e-02	9.901746e-01
2.563477e-02	9.900886e-01
2.587891e-02	9.900027e-01
2.612305e-02	9.899170e-01
2.636719e-02	9.898315e-01
2.661133e-02	9.897461e-01
2.685547e-02	9.896608e-01
2.709961e-02	9.895758e-01
2.734375e-02	9.894909e-01
2.758789e-02	9.894061e-01
2.783203e-02	9.893215e-01
2.807617e-02	9.892371e-01
2.832031e-02	9.891528e-01
2.856445e-02	9.890687e-01
2.880859e-02	9.889848e-01
2.905273e-02	9.889010e-01
2.929688e-02	9.888174e-01
2.954102e-02	9.887339e-01
2.978516e-02	9.886506e-01
3.002930e-02	9.885675e-01
3.027344e-02	9.884845e-01
3.051758e-02	9.884017e-01
3.076172e-02	9.883190e-01
3.100586e-02	9.882365e-01
3.125000e-02	9.881541e-01
3.149414e-02	9.880720e-01
3.173828e-02	9.879899e-01
3.198242e-02	9.879081e-01
3.222656e-02	9.878264e-01
3.247070e-02	9.877448e-01
3.271484e-02	9.876634e-01
3.295898e-02	9.875822e-01
3.320312e-02	9.875011e-01
3.344727e-02	9.874202e-01
3.369141e-02	9.873395e-01
3.393555e-02	9.872589e-01
3.417969e-02	9.871785e-01
3.442383e-02	9.870982e-01
3.466797e-02	9.870181e-01
3.491211e-02	9.869382e-01
3.515625e-02	9.868584e-01
3.540039e-02	9.867787e-01
3.564453e-02	9.866993e-01
3.588867e-02	9.866200e-01
3.613281e-02	9.865408e-01
3.637695e-02	9.864618e-01
3.662109e-02	9.863830e-01
3.686523e-02	9.863043e-01
3.710938e-02	9.862258e-01
3.735352e-02	9.861475e-01
3.759766e-02	9.860693e-01
3.784180e-02	9.859912e-01
3.808594e-02	9.859134e-01
3.833008e-02	9.858357e-01
3.857422e-02	9.857581e-01
3.881836e-02	9.856807e-01
3.906250e-02	9.856035e-01
3.930664e-02	9.855264e-01
3.955078e-02	9.854495e-01
3.979492e-02	9.853727e-01
4.003906e-02	9.852961e-01
4.028320e-02	9.852197e-01
4.052734e-02	9.851434e-01
4.077148e-02	9.850673e-01
4.101562e-02	9.849913e-01
4.125977e-02	9.849155e-01
4.150391e-02	9.848399e-01
4.174805e-02	9.847644e-01
4.199219e-02	9.846891e-01
4.223633e-02	9.846139e-01
4.248047e-02	9.845389e-01
4.272461e-02	9.844641e-01
4.296875e-02	9.843894e-01
4.321289e-02	9.843149e-01
4.345703e-02	9.842405e-01
4.370117e-02	9.841663e-01
4.394531e-02	9.840923e-01
4.418945e-02	9.840184e-01
4.443359e-02	9.839446e-01
4.467773e-02	9.838711e-01
4.492188e-02	9.837977e-01
4.516602e-02	9.837244e-01
4.541016e-02	9.836513e-01
4.565430e-02	9.835784e-01
4.589844e-02	9.835056e-01
4.614258e-02	9.834330e-01
4.638672e-02	9.833605e-01
4.663086e-02	9.832882e-01
4.687500e-02	9.832161e-01
4.711914e-02	9.831441e-01
4.736328e-02	9.830723e-01
4.760742e-02	9.830006e-01
4.785156e-02	9.829291e-01
4.809570e-02	9.828578e-01
4.833984e-02	9.827866e-01
4.858398e-02	9.827156e-01
4.882812e-02	9.826447e-01
4.907227e-02	9.825740e-01
4.931641e-02	9.825035e-01
4.956055e-02	9.824331e-01
4.980469e-02	9.823628e-01
5.004883e-02	9.822928e-01
5.029297e-02	9.822229e-01
5.053711e-02	9.821531e-01
5.078125e-02	9.820835e-01
5.102539e-02	9.820141e-01
5.126953e-02	9.819448e-01
5.151367e-02	9.818757e-01
5.175781e-02	9.818067e-01
5.200195e-02	9.817379e-01
5.224609e-02	9.816693e-01
5.249023e-02	9.816008e-01
5.273438e-02	9.815324e-01
5.297852e-02	9.814643e-01
5.322266e-02	9.813963e-01
5.346680e-02	9.813284e-01
5.371094e-02	9.812607e-01
5.395508e-02	9.811932e-01
5.419922e-02	9.811258e-01
5.444336e-02	9.810586e-01
5.468750e-02	9.809915e-01
5.493164e-02	9.809246e-01
5.517578e-02	9.808579e-01
5.541992e-02	9.807913e-01
5.566406e-02	9.807249e-01
5.590820e-02	9.806586e-01
5.615234e-02	9.805925e-01
5.639648e-02	9.805266e-01
5.664062e-02	9.804608e-01
5.688477e-02	9.803952e-01
5.712891e-02	9.803297e-01
5.737305e-02	9.802644e-01
5.761719e-02	9.801992e-01
5.786133e-02	9.801342e-01
5.810547e-02	9.800694e-01
5.834961e-02	9.800047e-01
5.859375e-02	9.799402e-01
5.883789e-02	9.798758e-01
5.908203e-02	9.798116e-01
5.932617e-02	9.797475e-01
5.957031e-02	9.796837e-01
5.981445e-02	9.796199e-01
6.005859e-02	9.795563e-01
6.030273e-02	9.794929e-01
6.054688e-02	9.794297e-01
6.079102e-02	9.793666e-01
6.103516e-02	9.793036e-01
6.127930e-02	9.792408e-01
6.152344e-02	9.791782e-01
6.176758e-02	9.791158e-01
6.201172e-02	9.790534e-01
6.225586e-02	9.789913e-01
6.250000e-02	9.789293e-01
6.274414e-02	9.788675e-01
6.298828e-02	9.788058e-01
6.323242e-02	9.787443e-01
6.347656e-02	9.786829e-01
6.372070e-02	9.786217e-01
6.396484e-02	9.785607e-01
6.420898e-02	9.784998e-01
6.445312e-02	9.784391e-01
6.469727e-02	9.783785e-01
6.494141e-02	9.783181e-01
6.518555e-02	9.782578e-01
6.542969e-02	9.781977e-01
6.567383e-02	9.781378e-01
6.591797e-02	9.780780e-01
6.616211e-02	9.780184e-01
6.640625e-02	9.779589e-01
6.665039e-02	9.778996e-01
6.689453e-02	9.778405e-01
6.713867e-02	9.777815e-01
6.738281e-02	9.777226e-01
6.762695e-02	9.776639e-01
6.787109e-02	9.776054e-01
6.811523e-02	9.775471e-01
6.835938e-02	9.774889e-01
6.860352e-02	9.774308e-01
6.884766e-02	9.773729e-01
6.909180e-02	9.773152e-01
6.933594e-02	9.772576e-01
6.958008e-02	9.772002e-01
6.982422e-02	9.771430e-01
7.006836e-02	9.770859e-01
7.031250e-02	9.770289e-01
7.055664e-02	9.769721e-01
7.080078e-02	9.769155e-01
7.104492e-02	9.768590e-01
7.128906e-02	9.768027e-01
7.153320e-02	9.767466e-01
7.177734e-02	9.766906e-01
7.202148e-02	9.766347e-01
7.226562e-02	9.765791e-01
7.250977e-02	9.765235e-01
7.275391e-02	9.764682e-01
7.299805e-02	9.764130e-01
7.324219e-02	9.763579e-01
7.348633e-02	9.763030e-01
7.373047e-02	9.762483e-01
7.397461e-02	9.761937e-01
7.421875e-02	9.761393e-01
7.446289e-02	9.760850e-01
7.470703e-02	9.760309e-01
7.495117e-02	9.759770e-01
7.519531e-02	9.759232e-01
7.543945e-02	9.758695e-01
7.568359e-02	9.758160e-01
7.592773e-02	9.757627e-01
7.617188e-02	9.757096e-01
7.641602e-02	9.756566e-01
7.666016e-02	9.756037e-01
7.690430e-02	9.755510e-01
7.714844e-02	9.754985e-01
7.739258e-02	9.754461e-01
7.763672e-02	9.753939e-01
7.788086e-02	9.753418e-01
7.812500e-02	9.752899e-01
7.836914e-02	9.752382e-01
7.861328e-02	9.751866e-01
7.885742e-02	9.751352e-01
7.910156e-02	9.750839e-01
7.934570e-02	9.750328e-01
7.958984e-02	9.749818e-01
7.983398e-02	9.749310e-01
8.007812e-02	9.748803e-01
8.032227e-02	9.748298e-01
8.056641e-02	9.747795e-01
8.081055e-02	9.747293e-01
8.105469e-02	9.746793e-01
8.129883e-02	9.746295e-01
8.154297e-02	9.745797e-01
8.178711e-02	9.745302e-01
8.203125e-02	9.744808e-01
8.227539e-02	9.744316e-01
8.251953e-02	9.743825e-01
8.276367e-02	9.743336e-01
8.300781e-02	9.742848e-01
8.325195e-02	9.742362e-01
8.349609e-02	9.741878e-01
8.374023e-02	9.741395e-01
8.398438e-02	9.740913e-01
8.422852e-02	9.740433e-01
8.447266e-02	9.739955e-01
8.471680e-02	9.739479e-01
8.496094e-02	9.739003e-01
8.520508e-02	9.738530e-01
8.544922e-02	9.738058e-01
8.569336e-02	9.737588e-01
8.593750e-02	9.737119e-01
8.618164e-02	9.736651e-01
8.642578e-02	9.736186e-01
8.666992e-02	9.735722e-01
8.691406e-02	9.735259e-01
8.715820e-02	9.734798e-01
8.740234e-02	9.734339e-01
8.764648e-02	9.733881e-01
8.789062e-02	9.733425e-01
8.813477e-02	9.732970e-01
8.837891e-02	9.732517e-01
8.862305e-02	9.732065e-01
8.886719e-02	9.731615e-01
8.911133e-02	9.731167e-01
8.935547e-02	9.730720e-01
8.959961e-02	9.730274e-01
8.984375e-02	9.729831e-01
9.008789e-02	9.729388e-01
9.033203e-02	9.728948e-01
9.057617e-02	9.728509e-01
9.082031e-02	9.728071e-01
9.106445e-02	9.727635e-01
9.130859e-02	9.727201e-01
9.155273e-02	9.726768e-01
9.179688e-02	9.726337e-01
9.204102e-02	9.725907e-01
